source_text,summary,summary_type
新能源行业报告认为，储能需求改善，产业链订单有望修复，但原材料价格仍有波动风险。,"新能源产业链订单修复线索值得细读。",ai_lead_read
新能源行业报告认为，储能需求改善，产业链订单有望修复，但原材料价格仍有波动风险。,"新能源机会来了，值得布局。",ai_lead_read
半导体行业报告指出，先进封装需求提升，国产设备验证加快，库存压力仍需观察。,"先进封装提速
设备验证加快
库存仍需观察",key_points
半导体行业报告指出，先进封装需求提升，国产设备验证加快，库存压力仍需观察。,"行业前景广阔
未来可期",key_points
银行行业报告指出，息差压力边际缓和，信贷投放节奏改善，但资产质量仍需跟踪。,"银行息差缓和带动盈利修复。",one_sentence
银行行业报告指出，息差压力边际缓和，信贷投放节奏改善，但资产质量仍需跟踪。,"需求改善带动利润修复。",one_sentence
医药行业报告指出，创新药审批节奏改善，院内需求恢复，海外授权增加，但研发失败风险仍在。,"研究对象：医药行业
核心结论：创新药景气度有望改善。
三大支撑：
1. 审批节奏改善
2. 院内需求恢复
3. 海外授权增加
潜在风险：
1. 研发失败风险",ai_quick_read_60s
医药行业报告指出，创新药审批节奏改善，院内需求恢复，海外授权增加，但研发失败风险仍在。,"研究对象：医药行业
核心结论：创新药景气度有望改善。
三大支撑：
1. 审批节奏改善
2. 院内需求恢复
3. 海外授权增加",ai_quick_read_60s
汽车行业报告显示，智能驾驶渗透率达到 35%，供应链成本下降 8%，维持买入评级，但价格竞争仍然激烈。,"# 汽车行业
- 智能驾驶渗透率达到 35%
- 供应链成本下降 8%
- 维持买入评级
- 风险：价格竞争仍然激烈",structured_layout
汽车行业报告显示，智能驾驶渗透率达到 35%，供应链成本下降 8%，但价格竞争仍然激烈。,"# 汽车行业
- 智能驾驶渗透率达到 40%
- 供应链成本下降 8%
- 新增海外订单明显改善",structured_layout
原文从产业周期、供需边际和成本压力等角度分析了消费行业，强调报告的逻辑链条完整，但对短期波动保持谨慎。,"这篇研报像节奏克制的行业观察片，从需求变化写到成本压力，又把短期波动放回产业框架中审视。它的价值不在情绪渲染，而在克制的推理秩序：观点推进清楚，风险留白也被保留，读者能看到结论背后的分析路径。全文没有急着给答案，而是把判断藏在材料组织和逻辑转折里，读起来更像冷静的文本评论。",review_style_summary
原文从产业周期、供需边际和成本压力三个角度分析了消费行业，强调报告的逻辑链条完整，但对短期波动保持谨慎。,"这篇研报用 3 个角度说明消费行业值得买入，逻辑完整且目标价清晰。",review_style_summary
